ido,algoritmus,start_x_m,start_y_m,cel_x_m,cel_y_m,sikeres,utvonal_hossz_m,futasido_ms,utvonal_pontok_szama,fa_csomopontok_szama
2026-09-23T09:50:34.794,A*,0.750,0.750,9.228,2.522,igen,9.328,1.318,18,0
2026-09-23T09:50:34.795,RRT,0.750,0.750,9.228,2.522,igen,10.179,1.858,22,57
2026-09-23T09:50:38.055,A*,0.750,0.750,2.023,9.244,igen,9.121,1.322,18,0
2026-09-23T09:50:38.061,RRT,0.750,0.750,2.023,9.244,igen,9.862,6.647,21,152
2026-09-23T09:50:41.907,A*,0.750,0.750,9.329,9.311,igen,13.485,2.319,23,0
2026-09-23T09:50:41.910,RRT,0.750,0.750,9.329,9.311,igen,14.718,5.485,31,133
2026-09-23T09:53:04.888,A*,0.750,0.750,5.902,3.270,igen,6.914,1.122,14,0
2026-09-23T09:53:04.908,RRT,0.750,0.750,5.902,3.270,igen,8.850,20.917,20,287
2026-09-23T09:53:07.293,A*,0.750,0.750,6.308,4.834,igen,8.621,1.840,17,0
2026-09-23T09:53:07.300,RRT,0.750,0.750,6.308,4.834,igen,15.464,8.749,33,165
2026-09-23T09:53:09.649,A*,0.750,0.750,2.057,8.716,igen,8.914,1.215,18,0
2026-09-23T09:53:09.661,RRT,0.750,0.750,2.057,8.716,igen,15.619,13.262,33,224
2026-09-23T09:53:11.681,A*,0.750,0.750,9.002,1.436,igen,8.707,0.482,18,0
2026-09-23T09:53:11.685,RRT,0.750,0.750,9.002,1.436,igen,9.747,3.658,21,73
2026-09-23T09:53:13.531,A*,0.750,0.750,8.648,3.265,igen,9.036,0.945,17,0
2026-09-23T09:53:13.535,RRT,0.750,0.750,8.648,3.265,igen,20.320,4.562,42,129
2026-09-23T09:53:17.268,A*,0.750,0.750,6.972,4.078,igen,8.328,1.912,16,0
2026-09-23T09:53:17.269,RRT,0.750,0.750,6.972,4.078,igen,11.064,3.472,24,84
2026-09-23T09:53:19.025,RRT,0.750,0.750,7.175,7.894,igen,11.965,1.370,26,59
2026-09-23T09:53:19.025,A*,0.750,0.750,7.175,7.894,igen,10.864,1.606,19,0
2026-09-23T09:53:22.160,A*,0.750,0.750,1.185,5.460,igen,4.707,0.316,10,0
2026-09-23T09:53:22.161,RRT,0.750,0.750,1.185,5.460,igen,5.896,0.228,13,15
2026-09-23T09:53:24.252,A*,0.750,0.750,3.098,1.653,igen,2.914,0.303,6,0
2026-09-23T09:53:24.252,RRT,0.750,0.750,3.098,1.653,igen,2.820,0.408,7,16
